base_score,[481.56390143]
age,Score
"(-inf, 45.0]",-3.6603938253240385
"(45.0, 46.98]",-8.643114767081064
"(46.98, 58.659]",-0.675112588727148
"(58.659, 64.0]",5.339580897279997
"(64.0, inf]",11.554165555443946
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.099]",39.696749230381506
"(0.099, 0.298]",12.122961562859269
"(0.298, 0.465]",-2.335367297600522
"(0.465, 0.983]",-19.37262665527663
"(0.983, 1.0]",-8.596855673713094
"(1.0, inf]",-36.751632083559706
DebtRatio,Score
"(-inf, 0.0174]",4.275769930779857
"(0.0174, 0.402]",0.10255387317202681
"(0.402, 1.477]",-1.0964671978762905
"(1.477, inf]",0.4932093794911404
MonthlyIncome,Score
"(-inf, 0.1]",35.53670590338043
"(0.1, 5595.923]",-5.938600268610189
"(5595.923, inf]",5.780844351374767
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 4.697]",-7.192826194626044
"(4.697, 5.0]",20.37581151120461
"(5.0, 8.891]",-3.2942575835865004
"(8.891, 9.082]",30.692238339751793
"(9.082, inf]",0.4085292003594993
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",20.21276495365181
"(0.0, 1.0]",-25.525677956860992
"(1.0, 2.0]",-37.89976394532476
"(2.0, inf]",-42.634259697233254
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",13.49890161630397
"(0.0, 1.0]",-50.29046366441157
"(1.0, 2.0]",-57.926143026738785
"(2.0, inf]",-61.42893956353035
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",11.95835440134864
"(0.0, 1.0]",-0.3075914321718632
"(1.0, 2.0]",-6.573739155155441
"(2.0, 4.0]",-23.715979893638977
"(4.0, inf]",-47.329350123884154
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",8.734086028462748
"(0.0, 1.0]",-39.75219352394231
"(1.0, 2.0]",-47.49465476373899
"(2.0, inf]",-46.50184807578147
NumberOfDependents,Score
"(-inf, 0.0]",10.951314067022778
"(0.0, 1.0]",-10.173909714970044
"(1.0, 2.0]",-9.252977341316988
"(2.0, inf]",-8.317559349961794
