,City,Latitude,Longitude,Latitudedir,Longitudedir
0,Adelaide,34.9285°,138.6007°,"S,",E
1,Albany,35.0275°,117.8840°,"S,",E
2,Albury,36.0737°,146.9135°,"S,",E
3,Wodonga,36.1241°,146.8818°,"S,",E
4,AliceSprings,23.6980°,133.8807°,"S,",E
5,Amata,26.1509°,131.1467°,"S,",E
6,Ballarat,37.5622°,143.8503°,"S,",E
7,Bathurst,33.4193°,149.5775°,"S,",E
8,Birdsville,25.8989°,139.3517°,"S,",E
9,Borroloola,16.0703°,136.3072°,"S,",E
10,Bourke,30.0907°,145.9382°,"S,",E
11,Brisbane,27.4698°,153.0251°,"S,",E
12,BrokenHill,31.9539°,141.4539°,"S,",E
13,Broome,17.9614°,122.2359°,"S,",E
14,Bunbury,33.3256°,115.6396°,"S,",E
15,Burketown,17.8522°,139.6332°,"S,",E
16,Burra,33.6800°,138.9363°,"S,",E
17,Cairns,16.9186°,145.7781°,"S,",E
18,Canberra,35.2809°,149.1300°,"S,",E
19,Carnarvon,24.8840°,113.6610°,"S,",E
20,Ceduna,32.1306°,133.6817°,"S,",E
21,Charleville,26.4021°,146.2454°,"S,",E
22,CooberPedy,29.0139°,134.7533°,"S,",E
23,Cooktown,15.4758°,145.2471°,"S,",E
24,CoffsHarbour,30.2986°,153.1094°,"S,",E
25,Dampier,20.6582°,116.7151°,"S,",E
26,Darwin,12.4634°,130.8456°,"S,",E
27,Derby,17.3179°,123.6490°,"S,",E
28,Devonport,41.1771°,146.3452°,"S,",E
29,Dubbo,32.2315°,148.6330°,"S,",E
30,Elliot,35.5258°,138.6771°,"S,",E
31,Esperance,33.8608°,121.8896°,"S,",E
32,Eucla,31.6772°,128.8898°,"S,",E
33,Exmouth,21.9445°,114.1313°,"S,",E
34,GascoyneJunction,25.0537°,115.2093°,"S,",E
35,Geraldton,28.7774°,114.6150°,"S,",E
36,Goondiwindi,28.5387°,150.2983°,"S,",E
37,Griffith,34.2801°,146.0455°,"S,",E
38,HallsCreek,18.2247°,127.6729°,"S,",E
39,Hobart,42.8821°,147.3272°,"S,",E
40,Horsham,36.7189°,142.1962°,"S,",E
41,Innamincka,27.4629°,140.5307°,"S,",E
42,Ivanhoe,37.7703°,145.0457°,"S,",E
43,Kalgoorlie–Boulder,30.7490°,121.4660°,"S,",E
44,Katherine,14.4521°,132.2715°,"S,",E
45,Kingscote,35.6531°,137.6340°,"S,",E
46,KingstonSE,36.8365°,139.8517°,"S,",E
47,Kulgera,25.8436°,133.2879°,"S,",E
48,LakesEntrance,37.8511°,147.9958°,"S,",E
49,Launceston,41.4332°,147.1441°,"S,",E
50,LeighCreek,30.5908°,138.3993°,"S,",E
51,Longreach,23.4422°,144.2555°,"S,",E
52,LordHoweIsland,31.5553°,159.0821°,"S,",E
53,Mackay,21.1425°,149.1821°,"S,",E
54,MargaretRiver,33.9550°,115.0750°,"S,",E
55,Maryborough,25.5233°,152.6971°,"S,",E
56,Melbourne,37.8136°,144.9631°,"S,",E
57,MelbourneAirport,37.6697°,144.8488°,"S,",E
58,Merredin,31.4837°,118.2771°,"S,",E
59,Mildura,34.2080°,142.1246°,"S,",E
60,MountGambier,37.8284°,140.7804°,"S,",E
61,MountIsa,20.7256°,139.4927°,"S,",E
62,Newcastle,32.9283°,151.7817°,"S,",E
63,Newdegate,33.0945°,119.0219°,"S,",E
64,Newman,23.3593°,119.7350°,"S,",E
65,Nhulunbuy,12.1825°,136.7819°,"S,",E
66,Norseman,32.1960°,121.7780°,"S,",E
67,Nullarbor,31.0582°,130.4811°,"S,",E
68,Oenpelli,12.3255°,133.0550°,"S,",E
69,Oodnadatta,27.5423°,135.4203°,"S,",E
70,Perth,31.9505°,115.8605°,"S,",E
71,PerthAirport,31.9440°,115.9680°,"S,",E
72,PortHedland,20.3107°,118.5878°,"S,",E
73,PortLincoln,34.7240°,135.8611°,"S,",E
74,PortMacquarie,31.4333°,152.9000°,"S,",E
75,Renmark,34.1743°,140.7443°,"S,",E
76,Rockhampton,23.3791°,150.5100°,"S,",E
77,Shepparton,36.3833°,145.4000°,"S,",E
78,Southport,27.9738°,153.4183°,"S,",E
79,Strahan,42.1500°,145.3167°,"S,",E
80,Swansea,33.0850°,151.6350°,"S,",E
81,Sydney,33.8688°,151.2093°,"S,",E
82,SydneyAirport,33.9399°,151.1753°,"S,",E
83,Tamworth,31.0927°,150.9320°,"S,",E
84,Taroom,25.6406°,149.7983°,"S,",E
85,Telfer,21.6924°,122.1478°,"S,",E
86,TennantCreek,19.6484°,134.1900°,"S,",E
87,Thargomindah,27.9944°,143.8229°,"S,",E
88,Tibooburra,29.4331°,142.0108°,"S,",E
89,TimberCreek,15.6432°,130.4666°,"S,",E
90,Townsville,19.2590°,146.8169°,"S,",E
91,Warburton,26.1353°,126.5783°,"S,",E
92,Weipa,12.6493°,141.8470°,"S,",E
93,Whyalla,33.0380°,137.5753°,"S,",E
94,Wiluna,26.5950°,120.2250°,"S,",E
95,Wollongong,34.4278°,150.8931°,"S,",E
96,Wyndham,15.4825°,128.1228°,"S,",E
97,Yalgoo,28.3445°,116.6851°,"S,",E
98,Yulara,25.2335°,130.9849°,"S,",E
99,Uluru,25.3444°,131.0369°,"S,",E
